INDEX,NAME,DATASET,UNCOMPRESSED,MAX_PNG_COMPRESSED,COMPRESSION,RLE,DELTA,RAW
140,ortho_1.5m.png,dark,99336192,11.764,14.642,7,0,8,RowWise
141,ortho_1.5m.png,dark,99336192,11.764,14.314,7,0,8,ColumnWise
142,ortho_1.5m.png,dark,99336192,11.764,13.299,7,1,8,RowWise
143,ortho_1.5m.png,dark,99336192,11.764,12.954,7,1,8,ColumnWise
144,ortho_1.5m.png,dark,99336192,11.764,13.233,7,2,8,RowWise
145,ortho_1.5m.png,dark,99336192,11.764,12.914,7,2,8,ColumnWise
146,ortho_1.5m.png,dark,99336192,11.764,13.215,7,3,8,RowWise
147,ortho_1.5m.png,dark,99336192,11.764,12.900,7,3,8,ColumnWise
148,ortho_1.5m.png,dark,99336192,11.764,13.206,7,4,8,RowWise
149,ortho_1.5m.png,dark,99336192,11.764,12.892,7,4,8,ColumnWise
150,ortho_1.5m.png,dark,99336192,11.764,13.203,7,5,8,RowWise
151,ortho_1.5m.png,dark,99336192,11.764,12.888,7,5,8,ColumnWise
152,ortho_1.5m.png,dark,99336192,11.764,11.025,7,6,8,RowWise
153,ortho_1.5m.png,dark,99336192,11.764,10.785,7,6,8,ColumnWise
154,ortho_1.5m.png,dark,99336192,11.764,13.197,7,7,8,RowWise
155,ortho_1.5m.png,dark,99336192,11.764,12.883,7,7,8,ColumnWise
156,ortho_1.5m.png,dark,99336192,11.764,13.197,7,8,0,RowWise
157,ortho_1.5m.png,dark,99336192,11.764,12.883,7,8,0,ColumnWise
158,ortho_1.5m.png,dark,99336192,11.764,13.197,7,8,8,RowWise
159,ortho_1.5m.png,dark,99336192,11.764,12.883,7,8,8,ColumnWise
160,ortho_1.5m.png,dark,99336192,11.764,11.979,8,0,8,RowWise
161,ortho_1.5m.png,dark,99336192,11.764,11.731,8,0,8,ColumnWise
162,ortho_1.5m.png,dark,99336192,11.764,12.382,8,1,8,RowWise
163,ortho_1.5m.png,dark,99336192,11.764,12.037,8,1,8,ColumnWise
164,ortho_1.5m.png,dark,99336192,11.764,12.849,8,2,8,RowWise
165,ortho_1.5m.png,dark,99336192,11.764,12.573,8,2,8,ColumnWise
166,ortho_1.5m.png,dark,99336192,11.764,13.028,8,3,8,RowWise
167,ortho_1.5m.png,dark,99336192,11.764,12.717,8,3,8,ColumnWise
168,ortho_1.5m.png,dark,99336192,11.764,13.098,8,4,8,RowWise
169,ortho_1.5m.png,dark,99336192,11.764,12.778,8,4,8,ColumnWise
170,ortho_1.5m.png,dark,99336192,11.764,13.127,8,5,8,RowWise
171,ortho_1.5m.png,dark,99336192,11.764,12.803,8,5,8,ColumnWise
172,ortho_1.5m.png,dark,99336192,11.764,13.138,8,6,8,RowWise
173,ortho_1.5m.png,dark,99336192,11.764,12.817,8,6,8,ColumnWise
174,ortho_1.5m.png,dark,99336192,11.764,10.964,8,7,8,RowWise
175,ortho_1.5m.png,dark,99336192,11.764,10.719,8,7,8,ColumnWise
176,ortho_1.5m.png,dark,99336192,11.764,10.964,8,8,0,RowWise
177,ortho_1.5m.png,dark,99336192,11.764,10.719,8,8,0,ColumnWise
178,ortho_1.5m.png,dark,99336192,11.764,13.156,8,8,8,RowWise
179,ortho_1.5m.png,dark,99336192,11.764,12.834,8,8,8,ColumnWise
180,ortho_1.5m.png,dark,99336192,11.764,14.676,9,0,8,RowWise
181,ortho_1.5m.png,dark,99336192,11.764,14.344,9,0,8,ColumnWise
182,ortho_1.5m.png,dark,99336192,11.764,13.240,9,1,8,RowWise
183,ortho_1.5m.png,dark,99336192,11.764,12.882,9,1,8,ColumnWise
184,ortho_1.5m.png,dark,99336192,11.764,13.175,9,2,8,RowWise
185,ortho_1.5m.png,dark,99336192,11.764,12.843,9,2,8,ColumnWise
186,ortho_1.5m.png,dark,99336192,11.764,13.157,9,3,8,RowWise
187,ortho_1.5m.png,dark,99336192,11.764,12.829,9,3,8,ColumnWise
188,ortho_1.5m.png,dark,99336192,11.764,13.149,9,4,8,RowWise
189,ortho_1.5m.png,dark,99336192,11.764,12.821,9,4,8,ColumnWise
190,ortho_1.5m.png,dark,99336192,11.764,13.145,9,5,8,RowWise
191,ortho_1.5m.png,dark,99336192,11.764,12.817,9,5,8,ColumnWise
192,ortho_1.5m.png,dark,99336192,11.764,13.142,9,6,8,RowWise
193,ortho_1.5m.png,dark,99336192,11.764,12.814,9,6,8,ColumnWise
194,ortho_1.5m.png,dark,99336192,11.764,13.140,9,7,8,RowWise
195,ortho_1.5m.png,dark,99336192,11.764,12.812,9,7,8,ColumnWise
196,ortho_1.5m.png,dark,99336192,11.764,13.140,9,8,0,RowWise
197,ortho_1.5m.png,dark,99336192,11.764,12.812,9,8,0,ColumnWise
198,ortho_1.5m.png,dark,99336192,11.764,10.948,9,8,8,RowWise
199,ortho_1.5m.png,dark,99336192,11.764,10.697,9,8,8,ColumnWise
200,ortho_1.5m.png,dark,99336192,11.764,14.672,10,0,8,RowWise
201,ortho_1.5m.png,dark,99336192,11.764,14.335,10,0,8,ColumnWise
202,ortho_1.5m.png,dark,99336192,11.764,12.949,10,1,8,RowWise
203,ortho_1.5m.png,dark,99336192,11.764,12.672,10,1,8,ColumnWise
204,ortho_1.5m.png,dark,99336192,11.764,13.069,10,2,8,RowWise
205,ortho_1.5m.png,dark,99336192,11.764,12.740,10,2,8,ColumnWise
206,ortho_1.5m.png,dark,99336192,11.764,13.091,10,3,8,RowWise
207,ortho_1.5m.png,dark,99336192,11.764,12.757,10,3,8,ColumnWise
208,ortho_1.5m.png,dark,99336192,11.764,13.103,10,4,8,RowWise
209,ortho_1.5m.png,dark,99336192,11.764,12.770,10,4,8,ColumnWise
210,ortho_1.5m.png,dark,99336192,11.764,13.115,10,5,8,RowWise
211,ortho_1.5m.png,dark,99336192,11.764,12.783,10,5,8,ColumnWise
212,ortho_1.5m.png,dark,99336192,11.764,13.128,10,6,8,RowWise
213,ortho_1.5m.png,dark,99336192,11.764,12.795,10,6,8,ColumnWise
214,ortho_1.5m.png,dark,99336192,11.764,13.135,10,7,8,RowWise
215,ortho_1.5m.png,dark,99336192,11.764,12.802,10,7,8,ColumnWise
216,ortho_1.5m.png,dark,99336192,11.764,13.135,10,8,0,RowWise
217,ortho_1.5m.png,dark,99336192,11.764,12.802,10,8,0,ColumnWise
218,ortho_1.5m.png,dark,99336192,11.764,13.135,10,8,8,RowWise
219,ortho_1.5m.png,dark,99336192,11.764,12.802,10,8,8,ColumnWise
220,ortho_1.5m.png,dark,99336192,11.764,14.672,11,0,8,RowWise
221,ortho_1.5m.png,dark,99336192,11.764,14.332,11,0,8,ColumnWise
222,ortho_1.5m.png,dark,99336192,11.764,13.237,11,1,8,RowWise
223,ortho_1.5m.png,dark,99336192,11.764,12.870,11,1,8,ColumnWise
224,ortho_1.5m.png,dark,99336192,11.764,13.171,11,2,8,RowWise
225,ortho_1.5m.png,dark,99336192,11.764,12.831,11,2,8,ColumnWise
226,ortho_1.5m.png,dark,99336192,11.764,13.153,11,3,8,RowWise
227,ortho_1.5m.png,dark,99336192,11.764,12.816,11,3,8,ColumnWise
228,ortho_1.5m.png,dark,99336192,11.764,13.145,11,4,8,RowWise
229,ortho_1.5m.png,dark,99336192,11.764,12.808,11,4,8,ColumnWise
230,ortho_1.5m.png,dark,99336192,11.764,13.141,11,5,8,RowWise
231,ortho_1.5m.png,dark,99336192,11.764,12.805,11,5,8,ColumnWise
232,ortho_1.5m.png,dark,99336192,11.764,13.138,11,6,8,RowWise
233,ortho_1.5m.png,dark,99336192,11.764,12.802,11,6,8,ColumnWise
234,ortho_1.5m.png,dark,99336192,11.764,13.135,11,7,8,RowWise
235,ortho_1.5m.png,dark,99336192,11.764,12.799,11,7,8,ColumnWise
236,ortho_1.5m.png,dark,99336192,11.764,13.135,11,8,0,RowWise
237,ortho_1.5m.png,dark,99336192,11.764,12.799,11,8,0,ColumnWise
238,ortho_1.5m.png,dark,99336192,11.764,13.135,11,8,8,RowWise
239,ortho_1.5m.png,dark,99336192,11.764,12.799,11,8,8,ColumnWise
240,ortho_1.5m.png,dark,99336192,11.764,14.672,12,0,8,RowWise
241,ortho_1.5m.png,dark,99336192,11.764,14.332,12,0,8,ColumnWise
242,ortho_1.5m.png,dark,99336192,11.764,13.237,12,1,8,RowWise
243,ortho_1.5m.png,dark,99336192,11.764,12.870,12,1,8,ColumnWise
244,ortho_1.5m.png,dark,99336192,11.764,13.171,12,2,8,RowWise
245,ortho_1.5m.png,dark,99336192,11.764,12.831,12,2,8,ColumnWise
246,ortho_1.5m.png,dark,99336192,11.764,13.153,12,3,8,RowWise
247,ortho_1.5m.png,dark,99336192,11.764,12.816,12,3,8,ColumnWise
248,ortho_1.5m.png,dark,99336192,11.764,13.145,12,4,8,RowWise
249,ortho_1.5m.png,dark,99336192,11.764,12.808,12,4,8,ColumnWise
250,ortho_1.5m.png,dark,99336192,11.764,13.141,12,5,8,RowWise
251,ortho_1.5m.png,dark,99336192,11.764,12.804,12,5,8,ColumnWise
252,ortho_1.5m.png,dark,99336192,11.764,13.138,12,6,8,RowWise
253,ortho_1.5m.png,dark,99336192,11.764,12.802,12,6,8,ColumnWise
254,ortho_1.5m.png,dark,99336192,11.764,13.135,12,7,8,RowWise
255,ortho_1.5m.png,dark,99336192,11.764,12.799,12,7,8,ColumnWise
256,ortho_1.5m.png,dark,99336192,11.764,13.135,12,8,0,RowWise
257,ortho_1.5m.png,dark,99336192,11.764,12.799,12,8,0,ColumnWise
258,ortho_1.5m.png,dark,99336192,11.764,13.135,12,8,8,RowWise
259,ortho_1.5m.png,dark,99336192,11.764,12.799,12,8,8,ColumnWise
260,ortho_1.5m.png,dark,99336192,11.764,14.672,13,0,8,RowWise
261,ortho_1.5m.png,dark,99336192,11.764,14.332,13,0,8,ColumnWise
262,ortho_1.5m.png,dark,99336192,11.764,13.237,13,1,8,RowWise
263,ortho_1.5m.png,dark,99336192,11.764,12.870,13,1,8,ColumnWise
264,ortho_1.5m.png,dark,99336192,11.764,13.171,13,2,8,RowWise
265,ortho_1.5m.png,dark,99336192,11.764,12.831,13,2,8,ColumnWise
266,ortho_1.5m.png,dark,99336192,11.764,13.153,13,3,8,RowWise
267,ortho_1.5m.png,dark,99336192,11.764,12.816,13,3,8,ColumnWise
268,ortho_1.5m.png,dark,99336192,11.764,13.145,13,4,8,RowWise
269,ortho_1.5m.png,dark,99336192,11.764,12.808,13,4,8,ColumnWise
270,ortho_1.5m.png,dark,99336192,11.764,13.141,13,5,8,RowWise
271,ortho_1.5m.png,dark,99336192,11.764,12.804,13,5,8,ColumnWise
272,ortho_1.5m.png,dark,99336192,11.764,13.138,13,6,8,RowWise
273,ortho_1.5m.png,dark,99336192,11.764,12.802,13,6,8,ColumnWise
274,ortho_1.5m.png,dark,99336192,11.764,13.135,13,7,8,RowWise
275,ortho_1.5m.png,dark,99336192,11.764,12.799,13,7,8,ColumnWise
276,ortho_1.5m.png,dark,99336192,11.764,13.135,13,8,0,RowWise
277,ortho_1.5m.png,dark,99336192,11.764,12.799,13,8,0,ColumnWise
278,ortho_1.5m.png,dark,99336192,11.764,13.135,13,8,8,RowWise
279,ortho_1.5m.png,dark,99336192,11.764,12.799,13,8,8,ColumnWise
280,ortho_1.5m.png,dark,99336192,11.764,14.672,14,0,8,RowWise
281,ortho_1.5m.png,dark,99336192,11.764,14.332,14,0,8,ColumnWise
282,ortho_1.5m.png,dark,99336192,11.764,13.237,14,1,8,RowWise
283,ortho_1.5m.png,dark,99336192,11.764,12.870,14,1,8,ColumnWise
284,ortho_1.5m.png,dark,99336192,11.764,13.171,14,2,8,RowWise
285,ortho_1.5m.png,dark,99336192,11.764,12.831,14,2,8,ColumnWise
286,ortho_1.5m.png,dark,99336192,11.764,13.153,14,3,8,RowWise
287,ortho_1.5m.png,dark,99336192,11.764,12.816,14,3,8,ColumnWise
288,ortho_1.5m.png,dark,99336192,11.764,13.145,14,4,8,RowWise
289,ortho_1.5m.png,dark,99336192,11.764,12.808,14,4,8,ColumnWise
290,ortho_1.5m.png,dark,99336192,11.764,13.141,14,5,8,RowWise
291,ortho_1.5m.png,dark,99336192,11.764,12.804,14,5,8,ColumnWise
292,ortho_1.5m.png,dark,99336192,11.764,13.138,14,6,8,RowWise
293,ortho_1.5m.png,dark,99336192,11.764,12.802,14,6,8,ColumnWise
294,ortho_1.5m.png,dark,99336192,11.764,13.135,14,7,8,RowWise
295,ortho_1.5m.png,dark,99336192,11.764,12.799,14,7,8,ColumnWise
296,ortho_1.5m.png,dark,99336192,11.764,13.135,14,8,0,RowWise
297,ortho_1.5m.png,dark,99336192,11.764,12.799,14,8,0,ColumnWise
298,ortho_1.5m.png,dark,99336192,11.764,13.135,14,8,8,RowWise
299,ortho_1.5m.png,dark,99336192,11.764,12.799,14,8,8,ColumnWise
300,ortho_1.5m.png,dark,99336192,11.764,14.672,15,0,8,RowWise
301,ortho_1.5m.png,dark,99336192,11.764,14.332,15,0,8,ColumnWise
302,ortho_1.5m.png,dark,99336192,11.764,13.237,15,1,8,RowWise
303,ortho_1.5m.png,dark,99336192,11.764,12.870,15,1,8,ColumnWise
304,ortho_1.5m.png,dark,99336192,11.764,13.171,15,2,8,RowWise
305,ortho_1.5m.png,dark,99336192,11.764,12.831,15,2,8,ColumnWise
306,ortho_1.5m.png,dark,99336192,11.764,13.153,15,3,8,RowWise
307,ortho_1.5m.png,dark,99336192,11.764,12.816,15,3,8,ColumnWise
308,ortho_1.5m.png,dark,99336192,11.764,13.145,15,4,8,RowWise
309,ortho_1.5m.png,dark,99336192,11.764,12.808,15,4,8,ColumnWise
310,ortho_1.5m.png,dark,99336192,11.764,13.141,15,5,8,RowWise
311,ortho_1.5m.png,dark,99336192,11.764,12.804,15,5,8,ColumnWise
312,ortho_1.5m.png,dark,99336192,11.764,13.138,15,6,8,RowWise
313,ortho_1.5m.png,dark,99336192,11.764,12.802,15,6,8,ColumnWise
314,ortho_1.5m.png,dark,99336192,11.764,13.135,15,7,8,RowWise
315,ortho_1.5m.png,dark,99336192,11.764,12.799,15,7,8,ColumnWise
316,ortho_1.5m.png,dark,99336192,11.764,13.135,15,8,0,RowWise
317,ortho_1.5m.png,dark,99336192,11.764,12.799,15,8,0,ColumnWise
318,ortho_1.5m.png,dark,99336192,11.764,13.135,15,8,8,RowWise
319,ortho_1.5m.png,dark,99336192,11.764,12.799,15,8,8,ColumnWise
320,ortho_1.5m.png,dark,99336192,11.764,14.672,16,0,8,RowWise
321,ortho_1.5m.png,dark,99336192,11.764,14.332,16,0,8,ColumnWise
322,ortho_1.5m.png,dark,99336192,11.764,13.237,16,1,8,RowWise
323,ortho_1.5m.png,dark,99336192,11.764,12.870,16,1,8,ColumnWise
324,ortho_1.5m.png,dark,99336192,11.764,13.171,16,2,8,RowWise
325,ortho_1.5m.png,dark,99336192,11.764,12.831,16,2,8,ColumnWise
326,ortho_1.5m.png,dark,99336192,11.764,13.153,16,3,8,RowWise
327,ortho_1.5m.png,dark,99336192,11.764,12.816,16,3,8,ColumnWise
328,ortho_1.5m.png,dark,99336192,11.764,13.145,16,4,8,RowWise
329,ortho_1.5m.png,dark,99336192,11.764,12.808,16,4,8,ColumnWise
330,ortho_1.5m.png,dark,99336192,11.764,13.141,16,5,8,RowWise
331,ortho_1.5m.png,dark,99336192,11.764,12.804,16,5,8,ColumnWise
332,ortho_1.5m.png,dark,99336192,11.764,13.138,16,6,8,RowWise
333,ortho_1.5m.png,dark,99336192,11.764,12.802,16,6,8,ColumnWise
334,ortho_1.5m.png,dark,99336192,11.764,13.135,16,7,8,RowWise
335,ortho_1.5m.png,dark,99336192,11.764,12.799,16,7,8,ColumnWise
336,ortho_1.5m.png,dark,99336192,11.764,13.135,16,8,0,RowWise
337,ortho_1.5m.png,dark,99336192,11.764,12.799,16,8,0,ColumnWise
338,ortho_1.5m.png,dark,99336192,11.764,13.135,16,8,8,RowWise
339,ortho_1.5m.png,dark,99336192,11.764,12.799,16,8,8,ColumnWise
340,ortho_1.5m.png,dark,99336192,11.764,14.672,17,0,8,RowWise
341,ortho_1.5m.png,dark,99336192,11.764,14.332,17,0,8,ColumnWise
342,ortho_1.5m.png,dark,99336192,11.764,13.237,17,1,8,RowWise
343,ortho_1.5m.png,dark,99336192,11.764,12.870,17,1,8,ColumnWise
344,ortho_1.5m.png,dark,99336192,11.764,13.171,17,2,8,RowWise
